or_name,ee_name,deal_date,n_patents,seller_cik,buyer_cik,deal_id,filer_cik,sec_start,sec_end,sec_exhibit_count,sec_any_price,sec_any_patent_asset_sale,sec_best_doc_class,sec_best_cik,sec_best_accession,sec_best_document,sec_best_description,sec_best_sec_url,sec_best_transaction_type,sec_best_price_scope,sec_best_price_kind,sec_best_is_patent_asset_sale,sec_best_price_disclosed,sec_best_price_value,sec_best_currency,sec_best_price_raw,sec_best_price_sentence,sec_best_price_unit,sec_best_patent_sale_sentence,sec_best_notes,sec_best_cik_url,sec_best_acc_url,sec_best_cik_norm,sec_best_accession_norm,sec_best_match_rule,sec_best_sec_any_price,sec_best_sec_any_patent_asset_sale,sec_best_type_prio,sec_best_has_sentence,sec_best_sent_len
KIM JUNGSUN,LG ELECTRONICS INC,2014-02-20,20,nan,2058873,678,2058873,2013-11-22,2014-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIM JUNKI,LG ELECTRONICS INC,2019-12-02,20,nan,2058873,679,2058873,2019-09-03,2020-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIM KIJUN,LG ELECTRONICS INC,2018-09-11,30,nan,2058873,680,2058873,2018-06-13,2018-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIM KYOUNGJOUNG,LG ELECTRONICS INC,2017-02-13,21,nan,2058873,681,2058873,2016-11-15,2017-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIM MIN GYU,LG ELECTRONICS INC,2011-10-19,22,nan,2058873,682,2058873,2011-07-21,2012-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIM MIN GYU,LG ELECTRONICS INC,2012-07-16,26,nan,2058873,683,2058873,2012-04-17,2012-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIM MINGYU,LG ELECTRONICS INC,2013-02-19,35,nan,2058873,684,2058873,2012-11-21,2013-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIM MIYOUNG,LG ELECTRONICS INC,2016-12-29,27,nan,2058873,685,2058873,2016-09-30,2017-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIM NAMHEE,LG ELECTRONICS INC,2017-04-17,39,nan,2058873,686,2058873,2017-01-17,2017-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIM RYAN YONG,BELKIN INTERNATIONAL INC,2014-09-24,26,nan,105319,687,105319,2014-06-26,2014-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIM SEUNGHWAN,LG ELECTRONICS INC,2022-01-01,91,nan,2058873,688,2058873,2021-10-03,2022-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIM SOJIN,LG ELECTRONICS INC,2020-01-07,27,nan,2058873,689,2058873,2019-10-09,2020-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIM SOOHYOUNG,FORD GLOBAL TECHNOLOGIES LLC,2018-06-19,43,nan,932021,690,932021,2018-03-21,2018-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIM SOOYEON,LG ELECTRONICS INC,2016-12-29,27,nan,2058873,691,2058873,2016-09-30,2017-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIM TAEHO,LG ELECTRONICS INC,2019-10-28,23,nan,2058873,692,2058873,2019-07-30,2020-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIM TAEK SOO,LG ELECTRONICS INC,2008-12-29,26,nan,2058873,693,2058873,2008-09-30,2009-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIM YOOSEOK,LG ELECTRONICS INC,2016-12-01,25,nan,2058873,694,2058873,2016-09-02,2017-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIM YOOSEOK,LG ELECTRONICS INC,2017-07-01,33,nan,2058873,695,2058873,2017-04-02,2017-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIM YOUNG IN,LG ELECTRONICS INC,2006-09-29,24,nan,2058873,696,2058873,2006-07-01,2006-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIM YOUNGKYOUNG,LG ELECTRONICS INC,2016-12-01,23,nan,2058873,697,2058873,2016-09-02,2017-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIM YOUNSOO,LG ELECTRONICS INC,2016-12-01,25,nan,2058873,698,2058873,2016-09-02,2017-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIM YOUNSOO,LG ELECTRONICS INC,2017-07-01,21,nan,2058873,699,2058873,2017-04-02,2017-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIMBERLYCLARK CORPORATION,PROCTER GAMBLE COMPANY THE,1997-10-13,32,nan,80424,700,80424,1997-07-15,1998-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIMBERLYCLARK TISSUE COMPANY,PROCTER GAMBLE COMPANY THE,1997-10-13,33,nan,80424,701,80424,1997-07-15,1998-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIMBERLYCLARK WORLDWIDE INC,SORRENTO THERAPEUTICS INC,2018-07-02,35,nan,1484565,702,1484565,2018-04-03,2018-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIMCHI GUR,AMAZON TECHNOLOGIES INC,2015-01-16,22,nan,1321834,703,1321834,2014-10-18,2015-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KING OF FANS INC,CHIEN LUEN INDUSTRIES CO LTD INC,2008-08-20,20,nan,72162,704,72162,2008-05-22,2008-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KING OF FANS INC,CHIEN LUEN INDUSTRIES CO LTD INC,2008-08-25,81,nan,72162,705,72162,2008-05-27,2008-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIRKIZLAR HUSEYIN ESER,NATERA INC,2015-04-17,32,nan,1604821,706,1604821,2015-01-17,2015-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIVA SYSTEMS LLC,AMAZON TECHNOLOGIES INC,2012-09-06,22,nan,1321834,707,1321834,2012-06-08,2012-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KLINE DANIEL S,DEXCOM INC,2005-03-08,20,nan,1093557,708,1093557,2004-12-08,2005-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO ALLAN,AMAZON TECHNOLOGIES INC,2016-01-13,20,nan,1321834,709,1321834,2015-10-15,2016-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO WOOSUK,LG ELECTRONICS INC,2016-04-04,27,nan,2058873,710,2058873,2016-01-05,2016-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOEKOEK MENNO,TECHNOLOGIES HOLDINGS CORP,2012-04-11,53,nan,2186,711,2186,2012-01-12,2012-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOMATSU YUZO,DAIKIN INDUSTRIES LTD,2020-08-26,20,nan,1446519,712,1446519,2020-05-28,2020-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KONINKLIJKE PHILIPS ELECTRONICS NV,CHI MEI OPTOELECTRONICS CORPORATION,2008-06-09,37,313216,nan,713,313216,2008-03-11,2008-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KONINKLIJKE PHILIPS ELECTRONICS NV,NXP BV,2007-07-04,33,313216,nan,714,313216,2007-04-05,2007-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KONINKLIJKE PHILIPS NV,LUMILEDS LLC,2017-04-28,30,313216,nan,715,313216,2017-01-28,2017-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KONINKLIJKE PHILIPS NV,MINICARE BV,2018-04-26,30,313216,nan,716,313216,2018-01-26,2018-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KONINKLIJKE PHILIPS NV,PHILIPS LIGHTING HOLDING BV,2016-02-01,156,313216,nan,717,313216,2015-11-03,2016-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KONINKLIJKE PHILIPS NV,PHILIPS PHOTONICS GMBH,2019-03-28,33,313216,nan,718,313216,2018-12-28,2019-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOO MOONMO,LG ELECTRONICS INC,2021-12-27,32,nan,2058873,719,2058873,2021-09-28,2022-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOTTOMTHARAYIL RAJIV,COMMVAULT SYSTEMS INC,2008-05-14,40,nan,1169561,720,1169561,2008-02-14,2008-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOTTOMTHARAYIL RAJIV,COMMVAULT SYSTEMS INC,2008-09-15,20,nan,1169561,721,1169561,2008-06-17,2008-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOVEL KIM,NIKE INC,2018-11-01,23,nan,320187,722,320187,2018-08-03,2019-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KUMAR MAYANK,TILE INC,2016-10-28,21,nan,1552800,723,1552800,2016-07-30,2017-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KUMARASAMY PARAMASIVAM,COMMVAULT SYSTEMS INC,2013-03-04,25,nan,1169561,724,1169561,2012-12-04,2013-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KWAK KOOK YEON,LG ELECTRONICS INC,2001-08-08,26,nan,2058873,725,2058873,2001-05-10,2001-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KWAK KOOK YEON,LG ELECTRONICS INC,2006-09-29,23,nan,2058873,726,2058873,2006-07-01,2006-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KWAK KOOK YEON,LG ELECTRONICS INC,2007-07-04,22,nan,2058873,727,2058873,2007-04-05,2007-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KWAK KOOK YEON,LG ELECTRONICS INC,2007-07-27,26,nan,2058873,728,2058873,2007-04-28,2007-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KWAK KOOK YEON,LG ELECTRONICS INC,2008-08-18,44,nan,2058873,729,2058873,2008-05-20,2008-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAMBETH DAVID N,DYNAMICS INC,2008-12-18,29,nan,1022671,730,1022671,2008-09-19,2009-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAMM STEFAN,FORD GLOBAL TECHNOLOGIES LLC,2007-11-30,21,nan,932021,731,932021,2007-09-01,2008-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LANCIA DAVID R JR,FORMA THERAPEUTICS INC,2016-06-20,20,nan,1001316,732,1001316,2016-03-22,2016-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LANDISGYR TECHNOLOGY INC,LANDISGYR INNOVATIONS INC,2017-03-10,22,1779474,nan,733,1779474,2016-12-10,2017-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LARKIN CARL,AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY INC,2004-07-15,20,nan,4962,734,4962,2004-04-16,2004-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAURO PAUL A,INTERNATIONAL BUSINESS MACHINES CORPORATION,1993-05-03,38,nan,51143,735,51143,1993-02-02,1993-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAWSON JEFF,TWILIO INC,2012-10-03,22,nan,1447669,736,1447669,2012-07-05,2013-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAZIER COLIN LAIRD,AMAZON TECHNOLOGIES INC,2015-07-29,26,nan,1321834,737,1321834,2015-04-30,2015-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEABMAN MICHAEL A,MOVANO INC,2019-11-12,31,nan,1734750,738,1734750,2019-08-14,2020-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEARD FRANCIS L,SEURAT TECHNOLOGIES INC,2016-10-26,24,nan,1321834,739,1321834,2016-07-28,2017-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEATHER MARK,ADVANCED MICRO DEVICES INC,2012-03-30,20,nan,2488,740,2488,2011-12-31,2012-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEE 2 DONGHOON,LG ELECTRONICS INC,2021-03-30,28,nan,2058873,741,2058873,2020-12-30,2021-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEE ALLISON WAINGOLD,SNOWFLAKE COMPUTING INC,2015-03-09,32,nan,1640147,742,1640147,2014-12-09,2015-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEE BUMSANG,LG ELECTRONICS INC,2019-10-28,23,nan,2058873,743,2058873,2019-07-30,2020-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEE CHUL SOO,LG ELECTRONICS INC,2008-08-18,31,nan,2058873,744,2058873,2008-05-20,2008-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEE CHUL SOO,LG ELECTRONICS INC,2008-10-13,66,nan,2058873,745,2058873,2008-07-15,2009-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEE DONGHOON,LG ELECTRONICS INC,2021-03-30,47,nan,2058873,746,2058873,2020-12-30,2021-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEE HOPHIL,LG ELECTRONICS INC,2017-02-13,21,nan,2058873,747,2058873,2016-11-15,2017-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEE HYOUNG GON,LG ELECTRONICS INC,2006-09-29,24,nan,2058873,748,2058873,2006-07-01,2006-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEE HYOUNG GON,LG ELECTRONICS INC,2007-07-04,37,nan,2058873,749,2058873,2007-04-05,2007-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEE HYOUNG GON,LG ELECTRONICS INC,2007-07-26,31,nan,2058873,750,2058873,2007-04-27,2007-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEE HYOUNG GON,LG ELECTRONICS INC,2008-08-28,50,nan,2058873,751,2058873,2008-05-30,2008-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEE JIHONG,LG ELECTRONICS INC,2015-06-19,22,nan,2058873,752,2058873,2015-03-21,2015-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEE JONGHAK,LG ELECTRONICS INC,2020-01-07,27,nan,2058873,753,2058873,2019-10-09,2020-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEE JOON HUI,LG ELECTRONICS INC,2008-08-14,29,nan,2058873,754,2058873,2008-05-16,2008-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEE JUNGHWAN,LG ELECTRONICS INC,2019-08-20,21,nan,2058873,755,2058873,2019-05-22,2019-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEE KYUNGAH,LG ELECTRONICS INC,2013-07-22,20,nan,2058873,756,2058873,2013-04-23,2013-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEE KYUNGAH,LG ELECTRONICS INC,2020-02-07,37,nan,2058873,757,2058873,2019-11-09,2020-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEE MOON IL,LG ELECTRONICS INC,2012-04-25,24,nan,2058873,758,2058873,2012-01-26,2012-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEE MYUNGWHOON,LG ELECTRONICS INC,2020-01-08,24,nan,2058873,759,2058873,2019-10-10,2020-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEE SEUNGHOON,FORD GLOBAL TECHNOLOGIES LLC,2013-02-11,25,nan,932021,760,932021,2012-11-13,2013-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEE TAEKGI,LG ELECTRONICS INC,2017-04-26,22,nan,2058873,761,2058873,2017-01-26,2017-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEE WOOKYONG,LG ELECTRONICS INC,2021-03-30,47,nan,2058873,762,2058873,2020-12-30,2021-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEE YONGHO,LG ELECTRONICS INC,2016-12-01,47,nan,2058873,763,2058873,2016-09-02,2017-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEE YONGHO,LG ELECTRONICS INC,2018-06-01,36,nan,2058873,764,2058873,2018-03-03,2018-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEE YOUNGDAE,LG ELECTRONICS INC,2009-07-28,26,nan,2058873,765,2058873,2009-04-29,2009-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEE YOUNGDAE,LG ELECTRONICS INC,2016-06-02,21,nan,2058873,766,2058873,2016-03-04,2016-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEE YUNGLYUL,SK TELECOM CO LTD,2010-10-16,23,nan,1015650,767,1015650,2010-07-18,2011-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEE YUNGLYUL,SK TELECOM CO LTD,2011-02-25,20,nan,1015650,768,1015650,2010-11-27,2011-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEE YUNGLYUL,SK TELECOM CO LTD,2013-07-12,31,nan,1015650,769,1015650,2013-04-13,2013-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LETOURNEAU JACK J,SKYLER TECHNOLOGY INC,2005-03-23,21,nan,1819974,770,1819974,2004-12-23,2005-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LETOURNEAU JACK J,SKYLER TECHNOLOGY INC,2006-06-21,20,nan,1819974,771,1819974,2006-03-23,2006-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LETTAU TYLER,TILE INC,2016-10-27,21,nan,1552800,772,1552800,2016-07-29,2017-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEWIS JERRY D,INTERNATIONAL BUSINESS MACHINES CORPORATION,1997-04-14,21,nan,51143,773,51143,1997-01-14,1997-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG ELECTRONICS INC,OPTIS CELLULAR TECHNOLOGY LLC,2013-12-19,27,2058873,nan,774,2058873,2013-09-20,2014-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LI HUI,RIGEL PHARMACEUTICALS INC,2003-03-04,20,nan,1034842,775,1034842,2002-12-04,2003-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LI SHUAI,HERMES MICROVISION INC,2016-12-22,28,nan,65770,776,65770,2016-09-23,2017-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LI YIZE,ALIBABA GROUP HOLDING LIMITED,2020-03-09,22,nan,1577552,777,1577552,2019-12-10,2020-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LI YONG,JOHNSON ELECTRIC SA,2016-08-25,22,nan,200406,778,200406,2016-05-27,2016-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LI YUE,JOHNSON ELECTRIC SA,2016-08-25,22,nan,200406,779,200406,2016-05-27,2016-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LI ZHIGUO,ALIBABA GROUP HOLDING LIMITED,2020-03-20,28,nan,1577552,780,1577552,2019-12-21,2020-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIANG GEORGE,FLORIDA TURBINE TECHNOLOGIES INC,2010-04-29,24,nan,1321834,781,1321834,2010-01-29,2010-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LICKRISH DAVID,IRONSHORE PHARMACEUTICALS DEVELOPMENT INC,2013-10-29,20,nan,1691082,782,1691082,2013-07-31,2014-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LICOR INC,PACIFIC BIOSCIENCES OF CALIFORNIA INC,2007-08-27,24,nan,1299130,783,1299130,2007-05-29,2007-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIM CHULMIN,LG ELECTRONICS INC,2019-10-28,23,nan,2058873,784,2058873,2019-07-30,2020-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIM JAE HYUN,LG ELECTRONICS INC,2006-12-01,20,nan,2058873,785,2058873,2006-09-02,2007-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIM JAEHYUN,LG ELECTRONICS INC,2021-12-29,41,nan,2058873,786,2058873,2021-09-30,2022-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIM JEONGYEON,SK TELECOM CO LTD,2013-03-07,22,nan,1015650,787,1015650,2012-12-07,2013-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIM JEONGYEON,SK TELECOM CO LTD,2013-05-28,39,nan,1015650,788,1015650,2013-02-27,2013-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIM STEPHEN,PEPSICO INC,2012-02-24,20,nan,77476,789,77476,2011-11-26,2012-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIM STEPHEN,PEPSICO INC,2013-12-19,22,nan,77476,790,77476,2013-09-20,2014-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIN WENJIAN,QUALCOMM MEMS TECHNOLOGIES INC,2006-03-24,29,nan,1321834,791,1321834,2005-12-24,2006-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LINK JOHN O,GILEAD SCIENCES INC,2013-10-17,27,nan,882095,792,882095,2013-07-19,2014-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIQUID CARBONIC CORPORATION,PRAXAIR TECHNOLOGY INC,1997-12-02,33,nan,1779474,793,1779474,1997-09-03,1998-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIRA SARA JANE,PIONEER HIBRED INTERNATIONAL INC,2020-03-23,20,nan,105319,794,105319,2019-12-24,2020-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIU CHIHCHENG,CHANGXIN MEMORY TECHNOLOGIES INC,2021-07-20,23,nan,1321834,795,1321834,2021-04-21,2021-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIU DAVID,STEM CENTRX INC,2013-02-22,32,nan,1758766,796,1758766,2012-11-24,2013-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIU JIAWEI,ALIBABA GROUP HOLDING LIMITED,2019-12-12,22,nan,1577552,797,1577552,2019-09-13,2020-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIU XUEDONG,HERMES MICROVISION INC,2016-12-21,22,nan,65770,798,65770,2016-09-22,2017-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOCKHEED MARTIN CORPORATION,BAE SYSTEMS INFORMATION AND ELECTRONIC SYSTEMS INTEGRATION INC,2000-11-27,68,nan,708781,799,708781,2000-08-29,2001-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOEW ANDREAS,ELSTAR THERAPEUTICS INC,2021-02-16,23,nan,1001316,800,1001316,2020-11-18,2021-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOW GLEN OLIVER,STEELCASE INC,2012-10-12,22,nan,1050825,801,1050825,2012-07-14,2013-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSI CORPORATION,NETAPP INC,2011-05-06,25,nan,1002047,802,1002047,2011-02-05,2011-08-04,1.0,1.0,1.0,asset_purchase,1002047.0,119312511171858.0,dex24.htm,ASSET PURCHASE AGREEMENT,https://www.sec.gov/Archives/edgar/data/1002047/000119312511171858/dex24.htm,asset_sale_with_ip,business_unit,total_consideration,1.0,1.0,480000000.0,USD,"$480,000,000","2.3 Purchase Price In consideration of the grant, bargain, sale, transfer, assignment, conveyance and delivery by Seller and the Subsidiaries of the Purchased Assets to Buyer or a Buyer Designee, and in addition to assuming the Assumed Liabilities, Buyer and/or a Buyer Designee(s) shall pay to Seller or the applicable Subsidiary at the Closing, an aggregate amount equal to four hundred eighty million dollars ($480,000,000) (the “ Purchase Price ”) in cash by wire transfer of immediately available funds to an account designated by Seller’s written instructions to Buyer at least two (2) Business Days prior to the Closing Date.",total,Purchase and Sale of the Engenio Business 14 2.1 Purchase and Sale of Assets 14 2.2 Excluded Assets 15 2.3 Purchase Price 17 2.4 Assumed Liabilities 17 2.5 Excluded Liabilities 18 2.6 Further Assurances; Further Conveyances and Assumptions; Consent of Third Parties 19 2.7 Intellectual Property and Information 21 2.8 Bulk Sales Law 21 2.9 Taxes 22 2.10 Buyer Designee 23 2.11 Performance of Warranty Service; Warranty Reimbursement 23 3.,Price relates to asset/business acquisition that includes IP/patents.,1002047,000119312511171858,1002047,000119312511171858,cik+midpoint,1.0,1.0,2.0,1.0,632.0
LU PENGCHENG,BOE TECHNOLOGY GROUP CO LTD,2017-04-27,21,nan,1852440,803,1852440,2017-01-27,2017-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LU WEI,FORMA THERAPEUTICS INC,2016-06-20,20,nan,1001316,804,1001316,2016-03-22,2016-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUCAS EARL,FORD GLOBAL TECHNOLOGIES LLC,2017-03-02,24,nan,932021,805,932021,2016-12-02,2017-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUCAS EARL C,FORD GLOBAL TECHNOLOGIES LLC,2017-10-24,34,nan,932021,806,932021,2017-07-26,2018-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUCENT TECHNOLOGIES INC,AGERE SYSTEMS GUARDIAN CORP,2001-01-30,103,1726079,nan,807,1726079,2000-11-01,2001-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUCENT TECHNOLOGIES INC,AGERE SYSTEMS INC,2001-01-30,57,1726079,nan,808,1726079,2000-11-01,2001-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUCENT TECHNOLOGIES INC,AGERE SYSTEMS INC,2002-05-31,31,1726079,nan,809,1726079,2002-03-02,2002-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUCENT TECHNOLOGIES INC,AGERE SYSTEMS OPTOELECTRONICS GUARDIAN CORP,2001-01-30,37,1726079,nan,810,1726079,2000-11-01,2001-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUCENT TECHNOLOGIES INC,AVAYA TECHNOLOGY CORP,2000-09-29,39,1726079,nan,811,1726079,2000-07-01,2000-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUCENT TECHNOLOGIES INC,PARADYNE CORPORATION FORMERLY KNOWN AS ATT PARADYNE CORPORATION,1996-07-31,31,1726079,nan,812,1726079,1996-05-02,1996-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUCENT TECHNOLOGIES INC,TYCO ELECTRONICS LOGISTICS AG,2000-12-29,228,1726079,nan,813,1726079,2000-09-30,2001-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
