or_name,ee_name,deal_date,n_patents,seller_cik,buyer_cik,deal_id,filer_cik,sec_start,sec_end,any_sec_exhibit,any_sec_price,any_patent_asset_sale
EVRYX TECHNOLOGIES INC,EVRYX ACQUISITION LLC,2011-02-23,117,1321834,nan,379,1321834,2010-11-25,2011-05-24,0,0,0
EXCELSIUS SURGICAL LLC,GLOBUS MEDICAL INC,2013-12-23,30,nan,1237831,380,1237831,2013-09-24,2014-03-23,0,0,0
EYEVERIFY INC,ALIBABA GROUP HOLDING LIMITED,2020-01-09,42,nan,1577552,381,1577552,2019-10-11,2020-04-08,0,0,0
FABRIZIUS MARTIN A,PIONEER HIBRED INTERNATIONAL INC,2010-04-20,23,nan,105319,382,105319,2010-01-20,2010-07-19,0,0,0
FABRIZIUS MARTIN A,PIONEER HIBRED INTERNATIONAL INC,2011-02-25,21,nan,105319,383,105319,2010-11-27,2011-05-26,0,0,0
FABRIZIUS MARTIN A,PIONEER HIBRED INTERNATIONAL INC,2012-02-08,26,nan,105319,384,105319,2011-11-10,2012-05-08,0,0,0
FARIS MARY,AGENSYS INC,2002-05-06,50,nan,924383,385,924383,2002-02-05,2002-08-04,0,0,0
FEES HEINER,SEURAT TECHNOLOGIES INC,2016-10-26,22,nan,1321834,386,1321834,2016-07-28,2017-01-24,0,0,0
FELDMANN KENNETH,CERES INC,2006-05-03,23,nan,14707,387,14707,2006-02-02,2006-08-01,0,0,0
FIELDS SETH W,AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY INC,2004-07-07,20,nan,4962,388,4962,2004-04-08,2004-10-05,0,0,0
FIFE KEITH G,BUTTERFLY NETWORK INC,2014-03-25,24,nan,1804176,389,1804176,2013-12-25,2014-06-23,0,0,0
FINGERWORKS INC,APPLE INC,2007-08-31,32,nan,320193,390,320193,2007-06-02,2007-11-29,0,0,0
FISHER CHRISTOPHER EUGENE,AEROVIRONMENT INC,2016-03-31,24,nan,1368622,391,1368622,2016-01-01,2016-06-29,0,0,0
FLEX LTD,THE SOLARIA CORPORATION,2019-09-18,48,866374,nan,392,866374,2019-06-20,2019-12-17,0,0,0
FLITSCH FREDERICK A,JOHNSON JOHNSON VISION CARE INC,2013-04-18,24,nan,200406,393,200406,2013-01-18,2013-07-17,0,0,0
FMC CORPORATION,FMC TECHNOLOGIES INC,2001-11-26,20,nan,1321834,394,1321834,2001-08-28,2002-02-24,0,0,0
FOGEL KEITH E,INTERNATIONAL BUSINESS MACHINES CORPORATION,1993-05-03,38,nan,51143,395,51143,1993-02-02,1993-08-01,0,0,0
FOORD ORIT,STEM CENTRX INC,2013-02-22,32,nan,1758766,396,1758766,2012-11-24,2013-05-23,0,0,0
FORD MOTOR COMPANY,FORD GLOBAL TECHNOLOGIES LLC,2004-08-11,22,nan,932021,397,932021,2004-05-13,2004-11-09,0,0,0
FORD MOTOR COMPANY,FORD GLOBAL TECHNOLOGIES LLC,2006-02-08,20,nan,932021,398,932021,2005-11-10,2006-05-09,0,0,0
FORD MOTOR COMPANY,FORD GLOBAL TECHNOLOGIES LLC,2006-04-03,20,nan,932021,399,932021,2006-01-03,2006-07-02,0,0,0
FOSTER MICHAEL,ALLISON TRANSMISSION INC,2015-04-17,23,nan,1411207,400,1411207,2015-01-17,2015-07-16,0,0,0
FOXCONN INTERNATIONAL INC,HON HAI PRECISION INDUSTRY CO LTD,1995-10-12,35,105319,nan,401,105319,1995-07-14,1996-01-10,0,0,0
FREELINC TECHNOLOGIES INC,FREELINC HOLDINGS LLC,2019-07-31,23,1321834,nan,402,1321834,2019-05-02,2019-10-29,0,0,0
FREESCALE SEMICONDUCTOR INC,APPLE INC,2011-04-11,22,nan,320193,403,320193,2011-01-11,2011-07-10,0,0,0
FRENRY COMPANY INC THE,FLORIDA POOL PRODUCTS INC A CORP OF FL,1990-11-29,27,nan,945841,404,945841,1990-08-31,1991-02-27,0,0,0
FROLIKOV ALEX,MICRON TECHNOLOGY INC,2018-04-30,37,nan,723125,405,723125,2018-01-30,2018-07-29,0,0,0
FUTUREWEI TECHNOLOGIES INC,HUAWEI TECHNOLOGIES CO LTD,2009-01-01,21,1321834,nan,406,1321834,2008-10-03,2009-04-01,0,0,0
FUTUREWEI TECHNOLOGIES INC,HUAWEI TECHNOLOGIES CO LTD,2019-04-20,51,1321834,nan,407,1321834,2019-01-20,2019-07-19,0,0,0
FUTUREWEI TECHNOLOGIES INC,HUAWEI TECHNOLOGIES CO LTD,2021-11-02,25,1321834,nan,408,1321834,2021-08-04,2022-01-31,0,0,0
GADHACHANDA VENKAT RAO,ACHILLION PHARMACEUTICALS INC,2016-03-11,25,nan,1691082,409,1691082,2015-12-12,2016-06-09,0,0,0
GAINEY CHARLES W JR,INTERNATIONAL BUSINESS MACHINES CORPORATION,1970-02-02,22,nan,51143,410,51143,1969-11-04,1970-05-03,0,0,0
GANDHAM SHASHIDHAR,CISCO TECHNOLOGY INC,2016-07-11,29,nan,1779474,411,1779474,2016-04-12,2016-10-09,0,0,0
GANT THOMAS G,AUSPEX PHARMACEUTICALS INC,2010-01-07,41,nan,1691082,412,1691082,2009-10-09,2010-04-07,0,0,0
GANTZ JEREMY,NIKE INC,2018-10-18,23,nan,320187,413,320187,2018-07-20,2019-01-16,0,0,0
GAO JIAN,BOE TECHNOLOGY GROUP CO LTD,2017-04-27,21,nan,1852440,414,1852440,2017-01-27,2017-07-26,0,0,0
GARCIA GUSTAVO MARCELO,PIONEER HIBRED INTERNATIONAL INC,2011-02-03,20,nan,105319,415,105319,2010-11-05,2011-05-04,0,0,0
GARDNER MARK I,ADVANCED MICRO DEVICES INC,1997-12-17,21,nan,2488,416,2488,1997-09-18,1998-03-17,0,0,0
GAUTHIER ROBERT J JR,INTERNATIONAL BUSINESS MACHINES CORPORATION,2014-11-17,21,nan,51143,417,51143,2014-08-19,2015-02-15,0,0,0
GE FINANCIAL ASSURANCE HOLDINGS INC,GENWORTH FINANCIAL INC,2004-05-24,85,1397911,1276520,418,1397911,2004-02-24,2004-08-22,0,0,0
GE MEDICAL SYSTEMS GLOBAL TECHNOLOGY COMPANY LLC,GENERAL ELECTRIC COMPANY,2003-03-31,75,nan,40545,419,40545,2002-12-31,2003-06-29,0,0,0
GE WANGMAO,AGENSYS INC,2002-05-06,40,nan,924383,420,924383,2002-02-05,2002-08-04,0,0,0
GEMELOS GEORGE,NATERA INC,2015-04-17,30,nan,1604821,421,1604821,2015-01-17,2015-07-16,0,0,0
GENERAL ELECTRIC COMPANY,ABB SCHWEIZ AG,2018-07-20,28,40545,nan,422,40545,2018-04-21,2018-10-18,0,0,0
GENERAL ELECTRIC COMPANY,BAKER HUGHES A GE COMPANY LLC,2017-07-03,26,40545,nan,423,40545,2017-04-04,2017-10-01,0,0,0
GENERAL ELECTRIC COMPANY,GE GLOBAL SOURCING LLC,2018-11-01,92,40545,nan,424,40545,2018-08-03,2019-01-30,0,0,0
GENERAL ELECTRIC COMPANY,GE GLOBAL SOURCING LLC,2019-02-25,29,40545,nan,425,40545,2018-11-27,2019-05-26,0,0,0
GENERAL ELECTRIC COMPANY,GLOBAL LIFE SCIENCES SOLUTIONS USA LLC,2020-03-20,22,40545,nan,426,40545,2019-12-21,2020-06-18,0,0,0
GENERAL ELECTRIC COMPANY,HAIER US APPLIANCE SOLUTIONS INC,2016-06-06,49,40545,nan,427,40545,2016-03-08,2016-09-04,0,0,0
GENERAL ELECTRIC COMPANY,SABIC INNOVATIVE PLASTICS IP BV,2007-08-31,21,40545,nan,428,40545,2007-06-02,2007-11-29,0,0,0
GEO LABS INC,GEO ACQUISITION CORP,1999-12-21,33,nan,1998781,429,1998781,1999-09-22,2000-03-20,0,0,0
GERHARD ADRIAN C,INTERNATIONAL BUSINESS MACHINES CORPORATION,2014-11-19,24,nan,51143,430,51143,2014-08-21,2015-02-17,0,0,0
GHOSH KOUSHIK,EASTMAN CHEMICAL COMPANY,2019-09-10,25,nan,915389,431,915389,2019-06-12,2019-12-09,0,0,0
GIBSON ALEX OCONNOR,FORD GLOBAL TECHNOLOGIES LLC,2013-02-20,31,nan,932021,432,932021,2012-11-22,2013-05-21,0,0,0
GIEGEL JOSHUA,HYPERLOOP TECHNOLOGIES INC,2016-01-26,24,nan,1321834,433,1321834,2015-10-28,2016-04-25,0,0,0
GILEAD PHARMASSET LLC,GILEAD SCIENCES INC,2021-10-20,38,nan,882095,434,882095,2021-07-22,2022-01-18,0,0,0
GILEAD SCIENCES INC,GILEAD PHARMASSET LLC,2014-04-11,20,882095,nan,435,882095,2014-01-11,2014-07-10,0,0,0
GILMORE STEVEN,FORD GLOBAL TECHNOLOGIES LLC,2018-01-10,20,nan,932021,436,932021,2017-10-12,2018-04-10,0,0,0
GLOVER KRISTOPHER,GANART TECHNOLOGIES INC,2010-01-13,21,nan,1321834,437,1321834,2009-10-15,2010-04-13,0,0,0
GMEDELAWARE 2 LLC,GLOBUS MEDICAL INC,2015-11-30,36,nan,1237831,438,1237831,2015-09-01,2016-02-28,0,0,0
GNUBIO INC,BIORAD LABORATORIES INC,2017-05-08,21,nan,12208,439,12208,2017-02-07,2017-08-06,0,0,0
GOKHALE PARAG,COMMVAULT SYSTEMS INC,2008-05-12,32,nan,1169561,440,1169561,2008-02-12,2008-08-10,0,0,0
GOKHALE PARAG,COMMVAULT SYSTEMS INC,2008-09-12,28,nan,1169561,441,1169561,2008-06-14,2008-12-11,0,0,0
GOLDFINGER TECHNOLOGIES LLC,AKRION TECHNOLOGIES INC,2006-01-25,50,nan,1964979,442,1964979,2005-10-27,2006-04-25,0,0,0
GOOD TECHNOLOGY SOFTWARE INC,GOOD TECHNOLOGY HOLDINGS LIMITED,2016-05-27,25,1779474,nan,443,1779474,2016-02-27,2016-08-25,0,0,0
GOODE PAUL V,DEXCOM INC,2005-03-28,27,nan,1093557,444,1093557,2004-12-28,2005-06-26,0,0,0
GOODE PAUL V JR,DEXCOM INC,2004-01-12,54,nan,1093557,445,1093557,2003-10-14,2004-04-11,0,0,0
GRACENOTE INC,ROKU INC,2021-04-15,34,nan,1428439,446,1428439,2021-01-15,2021-07-14,0,0,0
GRADY LEO,HEARTFLOW INC,2017-02-16,23,nan,1464521,447,1464521,2016-11-18,2017-05-17,0,0,0
GRAKE JAMES,FORD GLOBAL TECHNOLOGIES LLC,2017-01-30,31,nan,932021,448,932021,2016-11-01,2017-04-30,0,0,0
GRAKE JAMES,FORD GLOBAL TECHNOLOGIES LLC,2019-03-21,30,nan,932021,449,932021,2018-12-21,2019-06-19,0,0,0
GRAY WILLIAM J,AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY INC,2004-07-12,20,nan,4962,450,4962,2004-04-13,2004-10-10,0,0,0
GREENBERGER JEREMY A,INTERNATIONAL BUSINESS MACHINES CORPORATION,2014-08-25,23,nan,51143,451,51143,2014-05-27,2014-11-23,0,0,0
GREENE LESLIE ANN,ATYR PHARMA INC,2013-07-11,40,nan,1339970,452,1339970,2013-04-12,2013-10-09,0,0,0
GREINER DAN F,INTERNATIONAL BUSINESS MACHINES CORPORATION,2008-01-10,22,nan,51143,453,51143,2007-10-12,2008-04-09,0,0,0
GRIFFITHS PAUL G,INTUITIVE SURGICAL OPERATIONS INC,2015-09-25,20,nan,1035267,454,1035267,2015-06-27,2015-12-24,0,0,0
GROENSMA YPE,TECHNOLOGIES HOLDINGS CORP,2011-04-26,55,nan,2186,455,2186,2011-01-26,2011-07-25,0,0,0
GROHMAN WOJCIECH,LENNOX INDUSTRIES INC,2009-10-20,26,nan,72162,456,72162,2009-07-22,2010-01-18,0,0,0
GROTE EDWIN MICHAEL,PIONEER HIBRED INTERNATIONAL INC,2011-02-24,20,nan,105319,457,105319,2010-11-26,2011-05-25,0,0,0
GRUBSTEIN KATHERINE YERRE,DEXCOM INC,2014-12-16,22,nan,1093557,458,1093557,2014-09-17,2015-03-16,0,0,0
GSCHWIND MICHAEL KARL,INTERNATIONAL BUSINESS MACHINES CORPORATION,2014-01-22,25,nan,51143,459,51143,2013-10-24,2014-04-22,0,0,0
GU YOUNG MO,LG ELECTRONICS INC,2001-08-08,26,nan,2058873,460,2058873,2001-05-10,2001-11-06,0,0,0
GUARRAIA MARK JOSEPH,BECTON DICKINSON AND COMPANY,2012-05-16,20,nan,10795,461,10795,2012-02-16,2012-08-14,0,0,0
GUPTA LOKESH M,INTERNATIONAL BUSINESS MACHINES CORPORATION,2012-12-06,20,nan,51143,462,51143,2012-09-07,2013-03-06,0,0,0
GUSTAFSON GARY,FORMA THERAPEUTICS INC,2016-06-16,20,nan,1001316,463,1001316,2016-03-18,2016-09-14,0,0,0
GUTIERREZ ROMAN C,TESSERA MEMS TECHNOLOGIES INC,2010-11-10,22,nan,1321834,464,1321834,2010-08-12,2011-02-08,0,0,0
HA JIUG,LG ELECTRONICS INC,2020-01-08,24,nan,2058873,465,2058873,2019-10-10,2020-04-07,0,0,0
HA YOUNGSOO,LG ELECTRONICS INC,2013-07-22,20,nan,2058873,466,2058873,2013-04-23,2013-10-20,0,0,0
HA YOUNGSOO,LG ELECTRONICS INC,2017-03-10,32,nan,2058873,467,2058873,2016-12-10,2017-06-08,0,0,0
HA YOUNGSOO,LG ELECTRONICS INC,2020-02-07,37,nan,2058873,468,2058873,2019-11-09,2020-05-07,0,0,0
HAGGERTY KATHLEEN,AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY INC,2006-10-25,24,nan,4962,469,4962,2006-07-27,2007-01-23,0,0,0
HAGGERTY KATHLEEN,AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY INC,2008-03-10,29,nan,4962,470,4962,2007-12-11,2008-06-08,0,0,0
HAMBALI GREGORI G,KERRYS BROMELIAD NURSERY INC DBA TWYFORD INTERNATIONAL,2007-01-17,20,nan,105319,471,105319,2006-10-19,2007-04-17,0,0,0
HAN JONGHEE,LG ELECTRONICS INC,2013-07-19,20,nan,2058873,472,2058873,2013-04-20,2013-10-17,0,0,0
HAN JONGKI,SK TELECOM CO LTD,2013-06-03,31,nan,1015650,473,1015650,2013-03-05,2013-09-01,0,0,0
HAN SONGYI,LG ELECTRONICS INC,2016-12-29,27,nan,2058873,474,2058873,2016-09-30,2017-03-29,0,0,0
HAN SUNGKYONG,LG ELECTRONICS INC,2020-01-08,24,nan,2058873,475,2058873,2019-10-10,2020-04-07,0,0,0
HANEY WILLIAM,DRAGONFLY THERAPEUTICS INC,2019-09-18,31,nan,1001316,476,1001316,2019-06-20,2019-12-17,0,0,0
HANGZHOU H3C TECHNOLOGIES CO LTD,HEWLETT PACKARD ENTERPRISE DEVELOPMENT LP,2016-05-01,63,nan,1645590,477,1645590,2016-02-01,2016-07-30,0,0,0
HANKEY M EVANS,APPLE INC,2014-12-12,21,nan,320193,478,320193,2014-09-13,2015-03-12,0,0,0
HANKEY M EVANS,APPLE INC,2015-01-31,39,nan,320193,479,320193,2014-11-02,2015-05-01,0,0,0
HANKEY M EVANS,APPLE INC,2020-08-18,20,nan,320193,480,320193,2020-05-20,2020-11-16,0,0,0
HANKEY M EVANS,APPLE INC,2020-12-14,27,nan,320193,481,320193,2020-09-15,2021-03-14,0,0,0
HARNEJA SANCHAY,CISCO TECHNOLOGY INC,2017-08-11,33,nan,1779474,482,1779474,2017-05-13,2017-11-09,0,0,0
HASHIMOTO AKIHIRO,ACHILLION PHARMACEUTICALS INC,2016-03-11,26,nan,1691082,483,1691082,2015-12-12,2016-06-09,0,0,0
HAUBERG JONATHAN C,DAYTON TECHNOLOGIES INC,2000-04-06,29,nan,1321834,484,1321834,2000-01-07,2000-07-05,0,0,0
HAWAII BIOTECH INC,CARDAX PHARMACEUTICALS INC,2006-08-08,29,nan,1691082,485,1691082,2006-05-10,2006-11-06,0,0,0
HCA HEALTHCARE INC,CHCA INC,2019-11-18,23,860730,nan,486,860730,2019-08-20,2020-02-16,0,0,0
HEADWAY TECHNOLOGIES INC,TAIWAN SEMICONDUCTOR MANUFACTURING COMPANY LTD,2019-02-04,60,1321834,1046179,487,1321834,2018-11-06,2019-05-05,0,0,0
HEAP ANTHONY H,GM GLOBAL TECHNOLOGY OPERATIONS INC,2008-09-16,24,nan,1779474,488,1779474,2008-06-18,2008-12-15,0,0,0
HEFFNER ELLIOT LEE,PIONEER HIBRED INTERNATIONAL INC,2020-03-19,24,nan,105319,489,105319,2019-12-20,2020-06-17,0,0,0
HENDRY HENDRY,LG ELECTRONICS INC,2014-03-15,20,nan,2058873,490,2058873,2013-12-15,2014-06-13,0,0,0
HENDRY HENDRY,LG ELECTRONICS INC,2014-03-17,29,nan,2058873,491,2058873,2013-12-17,2014-06-15,0,0,0
HENDRY HENDRY,LG ELECTRONICS INC,2022-01-05,44,nan,2058873,492,2058873,2021-10-07,2022-04-05,0,0,0
HENKE GARY EDWARD,PIONEER HIBRED INTERNATIONAL INC,2011-02-22,20,nan,105319,493,105319,2010-11-24,2011-05-23,0,0,0
HENKE GARY EDWARD,PIONEER HIBRED INTERNATIONAL INC,2020-03-07,20,nan,105319,494,105319,2019-12-08,2020-06-05,0,0,0
HENRY JOSHUA,FORD GLOBAL TECHNOLOGIES LLC,2019-01-24,23,nan,932021,495,932021,2018-10-26,2019-04-24,0,0,0
HERMES MICROVISION INC,HERMES MICROVISION INCORPORATED BV,2018-12-19,67,65770,nan,496,65770,2018-09-20,2019-03-19,0,0,0
HEWLETT PACKARD ENTERPRISE DEVELOPMENT LP,ENTIT SOFTWARE LLC,2017-03-02,151,1645590,nan,497,1645590,2016-12-02,2017-05-31,0,0,0
HEWLETT PACKARD ENTERPRISE DEVELOPMENT LP,ENTIT SOFTWARE LLC,2017-04-05,23,1645590,nan,498,1645590,2017-01-05,2017-07-04,0,0,0
HEWLETTPACKARD DEVELOPMENT COMPANY LP,HEWLETT PACKARD ENTERPRISE DEVELOPMENT LP,2015-10-02,91,nan,1645590,499,1645590,2015-07-04,2015-12-31,0,0,0
HEWLETTPACKARD DEVELOPMENT COMPANY LP,HEWLETT PACKARD ENTERPRISE DEVELOPMENT LP,2015-10-27,1380,nan,1645590,500,1645590,2015-07-29,2016-01-25,13,1,1
HGST NETHERLANDS BV,WESTERN DIGITAL TECHNOLOGIES INC,2016-08-31,108,nan,1321834,501,1321834,2016-06-02,2016-11-29,0,0,0
HIGHLAND THERAPEUTICS INC,IRONSHORE PHARMACEUTICALS DEVELOPMENT INC,2013-11-14,20,1001316,1691082,502,1001316,2013-08-16,2014-02-12,0,0,0
HILL MATTHEW,NATERA INC,2015-04-17,33,nan,1604821,503,1604821,2015-01-17,2015-07-16,0,0,0
HISTORX INC,NOVARTIS AG,2014-12-18,21,nan,1114448,504,1114448,2014-09-19,2015-03-18,0,0,0
HITACHI DISPLAYS LTD,HITACHI DISPLAYS LTD,2010-06-30,55,47710,47710,505,47710,2010-04-01,2010-09-28,0,0,0
HITACHI DISPLAYS LTD,IPS ALPHA SUPPORT CO LTD,2010-06-30,65,47710,nan,506,47710,2010-04-01,2010-09-28,0,0,0
HITACHI LTD,ELPIDA MEMORY INC,2006-06-14,22,47710,nan,507,47710,2006-03-16,2006-09-12,0,0,0
HITACHI LTD,HITACHI MEDICAL CORPORATION,1993-09-14,23,47710,nan,508,47710,1993-06-16,1993-12-13,0,0,0
HITACHI LTD,HITACHI MEDICAL CORPORATION,1994-01-25,42,47710,nan,509,47710,1993-10-27,1994-04-25,0,0,0
HITACHI LTD,RENESAS TECHNOLOGY CORP,2003-09-12,20,47710,nan,510,47710,2003-06-14,2003-12-11,0,0,0
HITACHI LTD,RENESAS TECHNOLOGY CORPORATION,2003-09-12,133,47710,nan,511,47710,2003-06-14,2003-12-11,0,0,0
HOENIG JULIAN,APPLE INC,2014-12-08,22,nan,320193,512,320193,2014-09-09,2015-03-08,0,0,0
HOENIG JULIAN,APPLE INC,2015-01-19,42,nan,320193,513,320193,2014-10-21,2015-04-19,0,0,0
HOFMAN HENK,TECHNOLOGIES HOLDINGS CORP,2011-04-20,35,nan,2186,514,2186,2011-01-20,2011-07-19,0,0,0
HOFMAN HENK,TECHNOLOGIES HOLDINGS CORP,2012-04-11,51,nan,2186,515,2186,2012-01-12,2012-07-10,0,0,0
HOLBROOK ARTHUR MARTIN,GANART TECHNOLOGIES INC,2010-01-13,21,nan,1321834,516,1321834,2009-10-15,2010-04-13,0,0,0
HOLLAND SACHA J,RIGEL PHARMACEUTICALS INC,2003-03-04,20,nan,1034842,517,1034842,2002-12-04,2003-06-02,0,0,0
HOLLOWAY LEE HAHN,CLOUDFLARE INC,2010-11-04,23,nan,1477333,518,1477333,2010-08-06,2011-02-02,0,0,0
HOLTEC INTERNATIONAL INC,SMR LLC,2014-01-08,20,105319,nan,519,105319,2013-10-10,2014-04-08,0,0,0
HONEYWELL INTERNATIONAL INC,ADEMCO INC,2018-07-29,59,773840,nan,520,773840,2018-04-30,2018-10-27,0,0,0
HONEYWELL INTERNATIONAL INC,FINISAR CORPORATION,2004-03-01,32,773840,nan,521,773840,2003-12-02,2004-05-30,0,0,0
HONG FEI,ATYR PHARMA INC,2013-07-11,36,nan,1339970,522,1339970,2013-04-12,2013-10-09,0,0,0
HONG HO TAEK,LG ELECTRONICS INC,2006-09-29,24,nan,2058873,523,2058873,2006-07-01,2006-12-28,0,0,0
HONG HO TAEK,LG ELECTRONICS INC,2008-08-14,31,nan,2058873,524,2058873,2008-05-16,2008-11-12,0,0,0
HONG JIPYO,LG ELECTRONICS INC,2019-10-28,23,nan,2058873,525,2058873,2019-07-30,2020-01-26,0,0,0
HONG SUNGRYONG,LG ELECTRONICS INC,2015-12-22,23,nan,2058873,526,2058873,2015-09-23,2016-03-21,0,0,0
HONG SUNGRYONG,LG ELECTRONICS INC,2016-04-04,25,nan,2058873,527,2058873,2016-01-05,2016-07-03,0,0,0
HOOKER DAVID,GANART TECHNOLOGIES INC,2010-01-15,21,nan,1321834,528,1321834,2009-10-17,2010-04-15,0,0,0
HOSSEINIMAKAREM ZAHRA,MICRON TECHNOLOGY INC,2021-02-14,20,nan,723125,529,723125,2020-11-16,2021-05-15,0,0,0
HOWARTH RICHARD P,APPLE COMPUTER INC,2005-10-18,22,nan,320193,530,320193,2005-07-20,2006-01-16,0,0,0
HOWARTH RICHARD P,APPLE INC,2007-12-17,34,nan,320193,531,320193,2007-09-18,2008-03-16,0,0,0
HOWARTH RICHARD P,APPLE INC,2014-12-08,22,nan,320193,532,320193,2014-09-09,2015-03-08,0,0,0
HOWARTH RICHARD P,APPLE INC,2015-01-20,43,nan,320193,533,320193,2014-10-22,2015-04-20,0,0,0
HOWARTH RICHARD P,APPLE INC,2020-08-25,20,nan,320193,534,320193,2020-05-27,2020-11-23,0,0,0
HPM INC,METROPOLITAN LIFE INSURANCE COMPANY,1990-08-01,20,47217,nan,535,47217,1990-05-03,1990-10-30,0,0,0
HR ASSET HOLDINGS INC,YANICKLO TECHNOLOGY LIMITED LIABILITY COMPANY,2010-02-04,41,2026353,nan,536,2026353,2009-11-06,2010-05-05,0,0,0
HSU KEN Y,ST FRANCIS MEDICAL TECHNOLOGIES INC,2006-12-03,24,nan,1321834,537,1321834,2006-09-04,2007-03-03,0,0,0
HUBBARD JOSHUA W,CORNERSTONE CM INC,2014-11-11,21,nan,814083,538,814083,2014-08-13,2015-02-09,0,0,0
HUBERT RENE S,AGENSYS INC,2002-05-04,51,nan,924383,539,924383,2002-02-03,2002-08-02,0,0,0
HUFFER STARLA D,INTERNATIONAL BRAKE INDUSTRIES INC,1994-04-06,26,nan,105319,540,105319,1994-01-06,1994-07-05,0,0,0
HUFFSTETLER GARY,BROYHILL FURNITURE INDUSTRIES INC,2003-06-20,24,nan,72162,541,72162,2003-03-22,2003-09-18,0,0,0
HUFFSTETLER GARY,BROYHILL FURNITURE INDUSTRIES INC,2004-03-25,20,nan,72162,542,72162,2003-12-26,2004-06-23,0,0,0
HUH BYUNGMU,LG ELECTRONICS INC,2016-12-01,31,nan,2058873,543,2058873,2016-09-02,2017-03-01,0,0,0
HUH BYUNGMU,LG ELECTRONICS INC,2017-06-01,22,nan,2058873,544,2058873,2017-03-03,2017-08-30,0,0,0
HUH BYUNGMU,LG ELECTRONICS INC,2017-07-01,33,nan,2058873,545,2058873,2017-04-02,2017-09-29,0,0,0
HWANG JUNGBAE,LG ELECTRONICS INC,2017-04-26,25,nan,2058873,546,2058873,2017-01-26,2017-07-25,0,0,0
HWANG JUNGBAE,LG ELECTRONICS INC,2017-05-06,33,nan,2058873,547,2058873,2017-02-05,2017-08-04,0,0,0
HWANG MANTAE,LG ELECTRONICS INC,2017-04-26,25,nan,2058873,548,2058873,2017-01-26,2017-07-25,0,0,0
HWCES INTERNATIONAL,HWC ENERGY SERVICES INC,2006-02-28,27,nan,1699039,549,1699039,2005-11-30,2006-05-29,0,0,0
HYDRA BIOSCIENCES INC,ELI LILLY AND COMPANY,2018-12-14,30,1863127,nan,550,1863127,2018-09-15,2019-03-14,0,0,0
I2 TECHNOLOGIES INC,I2 TECHNOLOGIES US INC,2001-07-01,116,1321655,1321834,551,1321655,2001-04-02,2001-09-29,0,0,0
I2 TECHNOLOGIES INC,I2 TECHNOLOGIES US INC,2001-07-18,33,1321655,1321834,552,1321655,2001-04-19,2001-10-16,0,0,0
IBM INDIA PRIVATE LIMITED,INTERNATIONAL BUSINESS MACHINES CORPORATION,2014-05-26,24,nan,51143,553,51143,2014-02-25,2014-08-24,0,0,0
IDC LLC,QUALCOMM MEMS TECHNOLOGIES INC,2009-09-25,92,nan,1321834,554,1321834,2009-06-27,2009-12-24,0,0,0
INCIPIO TECHNOLOGIES INC,INCIPIO LLC,2015-12-31,20,1321834,nan,555,1321834,2015-10-02,2016-03-30,0,0,0
INFINEON TECHNOLOGIES AG,MARVELL INTERNATIONAL LTD,2009-02-05,22,1107457,1940941,556,1107457,2008-11-07,2009-05-06,0,0,0
INFINEON TECHNOLOGIES AG,POLARIS INNOVATIONS LIMITED,2015-07-08,22,1107457,nan,557,1107457,2015-04-09,2015-10-06,0,0,0
INFINEON TECHNOLOGIES AG,QIMONDA AG,2006-04-25,39,1107457,nan,558,1107457,2006-01-25,2006-07-24,0,0,0
INFINEON TECHNOLOGIES AMERICAS CORP,MACOM TECHNOLOGY SOLUTIONS HOLDINGS INC,2018-10-11,24,1107457,1493594,559,1107457,2018-07-13,2019-01-09,0,0,0
INFINEON TECHNOLOGIES NORTH AMERICA CORP,INFINEON TECHNOLOGIES AG,2003-08-12,20,1107457,1107457,560,1107457,2003-05-14,2003-11-10,0,0,0
INFINEON TECHNOLOGIES NORTH AMERICA CORP,INFINEON TECHNOLOGIES AG,2003-08-13,20,1107457,1107457,561,1107457,2003-05-15,2003-11-11,0,0,0
INTEGRATED DEVICE TECHNOLOGY INC,NETLOGIC MICROSYSTEMS INC,2009-07-17,27,1779474,nan,562,1779474,2009-04-18,2009-10-15,0,0,0
INTEL CORPORATION,APPLE INC,2019-11-30,171,nan,320193,563,320193,2019-09-01,2020-02-28,0,0,0
INTERNATIONAL BUSINESS MACHINES CORPORATION,EBAY INC,2012-09-28,302,51143,1065088,564,51143,2012-06-30,2012-12-27,1,1,1
INTERNATIONAL BUSINESS MACHINES CORPORATION,ECOBEE INC,2019-01-10,68,51143,nan,565,51143,2018-10-12,2019-04-10,0,0,0
INTERNATIONAL BUSINESS MACHINES CORPORATION,HCL TECHNOLOGIES LIMITED,2019-08-11,22,51143,nan,566,51143,2019-05-13,2019-11-09,0,0,0
INTERNATIONAL BUSINESS MACHINES CORPORATION,HITACHI GLOBAL STORAGE TECHNOLOGIES NETHERLANDS BV,2003-06-30,32,51143,932021,567,51143,2003-04-01,2003-09-28,0,0,0
